Title,Author,ISBN,ISBN13,Number of Pages,Available Formats
Crnica de una muerte anunciada,Gabriel Garca Mrquez,"=""1400034957""","=""9781400034956""",118,[]
El amor en los tiempos del clera,Gabriel Garca Mrquez,"=""0307387267""","=""9780307387264""",461,[]
La casa de los espritus,Isabel Allende,"=""8401423023""","=""9788401423024""",454,[]
Cien aos de soledad,Gabriel Garca Mrquez,"=""8420471836""","=""9788420471839""",609,[]
Les Guerriers du silence,Pierre Bordage,"=""""","=""""",636,[]
"Set Boundaries, Find Peace: A Guide to Reclaiming Yourself",Nedra Glover Tawwab,"=""0593192109""","=""9780593192108""",282,"['KINDLE', 'LIBBY AUDIOBOOK', 'LIBBY EBOOK']"
Why Have There Been No Great Women Artists?,Linda Nochlin,"=""""","=""""",34,[]
"The Three-Body Problem (Remembrance of Earths Past, #1)",Liu Cixin,"=""""","=""""",472,[]
Gagner la guerre,Jean-Philippe Jaworski,"=""2915793646""","=""9782915793642""",684,[]
Petit pays,Gal Faye,"=""2246857333""","=""9782246857334""",224,[]
Everything Is Tuberculosis: The History and Persistence of Our Deadliest Infection,John Green,"=""0525556575""","=""9780525556572""",198,"['KINDLE', 'LIBBY AUDIOBOOK', 'LIBBY EBOOK']"
Unraveled: A Climbers Journey Through Darkness and Back,Katie  Brown,"=""1680515470""","=""9781680515473""",306,[]
A Piece of the World,Christina Baker Kline,"=""0062356283""","=""9780062356284""",352,"['HOOPLA E BOOK', 'LIBBY AUDIOBOOK']"
The Rose Code,Kate Quinn,"=""0062943472""","=""9780062943477""",624,"['HOOPLA E BOOK', 'KINDLE', 'LIBBY EBOOK', 'HOOPLA AUDIO BOOK', 'LIBBY AUDIOBOOK']"
Your Money or Your Life,Joe Dominguez,"=""0140286780""","=""9780140286786""",400,"['KINDLE', 'LIBBY AUDIOBOOK', 'LIBBY EBOOK']"
L'tranger,Albert Camus,"=""2070360024""","=""9782070360024""",184,['HOOPLA E BOOK']
Le Tour du monde en 80 jours,Jules Verne,"=""2253012696""","=""9782253012696""",331,"['HOOPLA AUDIO BOOK', 'HOOPLA E BOOK']"
Chip War: The Fight for the World's Most Critical Technology,Chris   Miller,"=""1982172029""","=""9781982172022""",463,"['KINDLE', 'LIBBY AUDIOBOOK', 'LIBBY EBOOK']"
You Are Here: Poetry in the Natural World,Ada Limon,"=""1571315683""","=""9781571315687""",176,"['HOOPLA E BOOK', 'KINDLE', 'LIBBY EBOOK']"
Up to Speed: The Groundbreaking Science of Women Athletes,Christine Yu,"=""0593332393""","=""9780593332399""",336,[]
The End of Everything (Astrophysically Speaking),Katie  Mack,"=""198210354X""","=""9781982103545""",226,[]
Catch-22,Joseph Heller,"=""0684833395""","=""9780684833392""",453,"['HOOPLA E BOOK', 'LIBBY AUDIOBOOK', 'HOOPLA AUDIO BOOK', 'HOOPLA MOVIE', 'KINDLE', 'LIBBY EBOOK']"
Born a Crime: Stories From a South African Childhood,Trevor Noah,"=""0385689225""","=""9780385689229""",289,"['KINDLE', 'LIBBY EBOOK']"
The Song of Achilles,Madeline Miller,"=""""","=""""",408,"['HOOPLA E BOOK', 'KINDLE', 'LIBBY AUDIOBOOK', 'LIBBY EBOOK', 'HOOPLA AUDIO BOOK']"
The Aeneid,Virgil,"=""0679729526""","=""9780679729525""",442,"['HOOPLA E BOOK', 'HOOPLA AUDIO BOOK', 'EPUB', 'HTML', 'KINDLE', 'PLAIN TEXT', 'LIBBY EBOOK', 'HOOPLA TELEVISION', 'LIBBY AUDIOBOOK']"
