Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
199347538,"Somewhere Beyond the Sea (Cerulean Chronicles, #2)",T.J. Klune,"Klune, T.J.",,"=""125088120X""","=""9781250881205""",4,4.15,Tor Books,Hardcover,416,2024,2024,2025/07/09,2023/12/21,,,read,,,,1,0
905,The Inner Game of Tennis: The Classic Guide to the Mental Side of Peak Performance,W. Timothy Gallwey,"Gallwey, W. Timothy","Pete Carroll, Zach Kleiman","=""0679778314""","=""9780679778318""",4,4.19,Random House Trade Paperbacks,Paperback,134,1997,1974,2025/06/27,2025/06/13,,,read,,,,1,0
762,Crónica de una muerte anunciada,Gabriel García Márquez,"Márquez, Gabriel García",,"=""1400034957""","=""9781400034956""",0,3.97,Vintage Español,Paperback,118,2003,1981,,2025/06/10,to-read,to-read (#56),to-read,,,,0,0
500400,El amor en los tiempos del cólera,Gabriel García Márquez,"Márquez, Gabriel García",,"=""0307387267""","=""9780307387264""",0,3.94,Vintage Español,Paperback,461,2003,1985,,2025/06/10,to-read,to-read (#55),to-read,,,,0,0
106192,La casa de los espíritus,Isabel Allende,"Allende, Isabel",,"=""8401423023""","=""9788401423024""",0,4.29,Plaza & Janes,Mass Market Paperback,454,1999,1982,,2025/06/10,to-read,to-read (#54),to-read,,,,0,0
370523,Cien años de soledad,Gabriel García Márquez,"Márquez, Gabriel García",,"=""8420471836""","=""9788420471839""",0,4.12,Alfaguara,Hardcover,609,2007,1967,,2025/06/10,to-read,to-read (#53),to-read,,,,0,0
1559509,Les Guerriers du silence,Pierre Bordage,"Bordage, Pierre",,"=""""","=""""",0,4.05,J'ai Lu,Mass Market Paperback,636,1998,1993,,2025/06/10,to-read,to-read (#52),to-read,,,,0,0
39798828,The Fall of Gondolin (Middle-Earth Universe),J.R.R. Tolkien,"Tolkien, J.R.R.",Christopher Tolkien,"=""1328613046""","=""9781328613042""",0,4.09,Houghton Mifflin Harcourt,Hardcover,304,2018,2018,,2025/06/03,currently-reading,currently-reading (#2),currently-reading,,,,1,0
472331,Watchmen,Alan             Moore,"Moore, Alan","Dave Gibbons, John    Higgins","=""0930289234""","=""9780930289232""",5,4.39,DC Comics,Paperback,416,2005,1987,2025/05/31,2021/07/16,,,read,,,,1,0
54870131,The Day the World Stops Shopping: How Ending Consumerism Saves the Environment and Ourselves,J.B. MacKinnon,"MacKinnon, J.B.",,"=""0062856022""","=""9780062856029""",4,4.16,Ecco,Hardcover,336,2021,2021,2025/05/21,2025/02/27,,,read,,,,1,0
55782639,"Set Boundaries, Find Peace: A Guide to Reclaiming Yourself",Nedra Glover Tawwab,"Tawwab, Nedra Glover",,"=""0593192109""","=""9780593192108""",0,4.26,Tarcherperigee,ebook,282,2021,2021,,2025/05/18,to-read,to-read (#51),to-read,,,,0,0
36507992,Why Have There Been No Great Women Artists?,Linda Nochlin,"Nochlin, Linda",,"=""""","=""""",0,4.32,ARTnews,Paperback,34,1971,1971,,2025/05/10,to-read,to-read (#50),to-read,,,,0,0
12957,Much Ado About Nothing,William Shakespeare,"Shakespeare, William","Paul Werstine, Gail Kern Paster, Henry Irving, Barbara A. Mowat, Henry Norman Hudson, Frederick S. Boas, F.H. Mares, Robert          Jackson","=""""","=""""",3,4.06,Simon Schuster,Paperback,249,2004,1598,2025/05/07,2025/05/07,,,read,,,,1,0
50163512,"High Drama: The Rise, Fall, and Rebirth of American Competition Climbing",John Burgman,"Burgman, John",,"=""1629377759""","=""9781629377759""",5,3.70,Triumph Books,Paperback,400,2020,,2025/05/02,2024/03/11,,,read,,,,1,0
32929156,Wuthering Heights,Emily Brontë,"Brontë, Emily","Pauline Nestor, Lucasta Miller","=""0141439556""","=""9780141439556""",5,3.90,Penguin Classics,Paperback,359,2016,1847,2025/04/28,2025/04/23,,,read,,,,1,0
20518872,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,"Cixin, Liu",Ken Liu,"=""""","=""""",0,4.08,Tor Books,Hardcover,472,2014,2006,,2025/04/23,to-read,to-read (#49),to-read,,,,0,0
6650002,Gagner la guerre,Jean-Philippe Jaworski,"Jaworski, Jean-Philippe",,"=""2915793646""","=""9782915793642""",0,4.48,Les Moutons électriques,Paperback,684,2009,2009,,2025/04/23,to-read,to-read (#48),to-read,,,,0,0
